# Format is <Y/N>, <X/E>, <Z/RL>, <Label>
# Distances in meters
         15.486774,          -2.763263,          -1.989851, G000.00
         12.758348,          -7.153146,          -3.122613, G005.00
         16.904852,          -9.804876,          -4.235978, G005.05
         20.637604,         -11.719821,          -5.543359, G005.10
         25.425747,         -14.576199,          -6.948039, G005.15
         29.439598,         -16.782593,          -8.682028, G005.20
         17.693984,         -16.042361,          -5.838365, G010.10
         21.694108,         -18.594100,          -7.081273, G010.15
         25.868444,         -21.018549,          -8.575575, G010.20
          5.971534,         -14.369245,          -3.592720, G015.00
         10.196364,         -16.698864,          -4.723500, G015.05
         14.411844,         -19.182182,          -6.024379, G015.10
          2.548401,         -18.248350,          -3.747167, G020.00
          7.066851,         -20.011653,          -4.742385, G020.05
         11.510298,         -22.064044,          -5.963578, G020.10
         15.949367,         -24.046174,          -7.142605, G020.15
          0.183082,         -22.748579,          -3.445552, G025.00
          4.496466,         -24.824541,          -4.670849, G025.05
          8.973492,         -26.997160,          -5.545016, G025.10
         13.298649,         -28.979927,          -6.833887, G025.15
         -1.799062,         -27.367065,          -3.159003, G030.00
          2.711538,         -29.198711,          -4.473231, G030.05
          7.253924,         -31.165038,          -5.494562, G030.10
         11.720080,         -32.692955,          -6.764054, G030.15
         -4.471344,         -31.559876,          -2.589720, G035.00
          4.566772,         -35.049106,          -5.015871, G035.10
          9.218580,         -36.535730,          -6.281564, G035.15
         14.063657,         -38.189617,          -7.116928, G035.20
         -8.182017,         -35.597648,          -1.484502, G040.00
         -3.793551,         -37.328816,          -2.732982, G040.05
          0.845124,         -39.078954,          -4.046913, G040.10
         -9.752593,         -40.252610,          -0.950105, G045.00
         -0.744659,         -44.388046,          -3.070677, G045.10
          3.964547,         -46.060763,          -4.500997, G045.15
         -2.634781,         -47.332364,          -1.168863, G050.05
         -3.092373,         -48.662429,          -2.266229, G050.10
          6.406402,         -51.884795,          -4.844355, G050.20
        -10.074069,         -50.632937,          -0.212289, G055.05
         -1.032530,         -54.742747,          -2.267446, G055.15
          3.470550,         -56.652846,          -3.480489, G055.20
        -12.190741,         -54.837881,           0.887802, G060.05
         -3.160712,         -59.700786,          -0.704036, G060.15
          1.270157,         -62.369652,          -2.034471, G060.20
        -19.056734,         -56.607783,           2.773510, G065.00
        -14.969266,         -59.327258,           2.546021, G065.05
        -10.589394,         -61.860213,           1.772776, G065.10
         -1.989711,         -66.821843,          -0.415754, G065.20
        -21.487821,         -60.999097,           3.877147, G070.00
        -17.236953,         -63.723276,           3.216871, G070.05
        -13.116789,         -66.532375,           2.718845, G070.10
        -24.459252,         -65.187911,           4.350695, G075.00
        -18.875510,         -74.382956,           4.339658, G080.10
         15.473844,          -2.766161,          -2.952075, G000.00
         20.154111,          -4.389336,          -3.917165, G000.05
         25.087450,          -6.200361,          -4.795895, G000.10
         29.416958,          -8.944789,          -7.003893, G000.15
         33.066136,         -11.682446,          -8.641947, G000.20
         13.596236,         -13.690483,          -4.387136, G010.05
         20.370802,         -26.099727,          -8.200543, G020.20
         17.945636,         -31.060196,          -8.271134, G025.20
         -5.507308,         -52.759571,          -1.100425, G055.10
        -16.808565,         -52.891565,           2.305694, G060.00
         -7.637248,         -57.078982,           0.056221, G060.10
         -8.179034,         -35.600589,          -1.508303, G040.00
        -16.928643,         -53.047917,           2.148097, G060.00
        -13.121238,         -66.512885,           2.717333, G070.10
         -4.806890,         -72.144580,           1.079394, G070.20
        -24.437026,         -65.166049,           4.355379, G075.00
        -24.442432,         -65.172723,           4.351054, G075.00
        -24.437876,         -65.166608,           4.352782, G075.00.2
        -20.077858,         -67.854711,           4.137207, G075.05
        -16.620839,         -69.308884,           3.581451, G075.10
        -11.745028,         -73.169591,           3.183560, G075.15
         -7.600770,         -75.156716,           2.353503, G075.20
        -27.853410,         -69.606008,           5.194039, G080.00
        -23.313101,         -71.929788,           5.051706, G080.05
        -18.874044,         -74.399505,           4.364972, G080.10
        -14.564783,         -76.541093,           3.796835, G080.15
        -10.081140,         -79.511025,           3.163083, G080.20
        -30.513248,         -73.279124,           5.364767, G085.00
        -26.084188,         -75.990223,           5.166875, G085.05
        -21.750758,         -78.492940,           4.832576, G085.10
        -17.444671,         -80.459623,           4.612017, G085.15
        -12.673450,         -83.750948,           3.826475, G085.20
        -33.854434,         -77.064066,           5.320554, G090.00
        -29.502529,         -79.713201,           5.146101, G090.05
        -25.335088,         -82.426383,           4.906299, G090.10
        -21.213218,         -85.207423,           4.667497, G090.15
        -16.519610,         -88.363197,           4.158799, G090.20
        -37.599332,         -80.583402,           4.950546, G095.00
        -32.564428,         -83.830075,           4.717017, G095.05
        -28.412707,         -86.438543,           4.580689, G095.10
        -24.274986,         -89.226956,           4.570135, G095.15
        -21.096210,         -93.379373,           4.222936, G095.20
        -41.522043,         -83.879955,           4.616463, G100.00
        -38.122861,         -88.132472,           3.821184, G100.05
        -34.966403,         -91.097322,           3.581958, G100.10
        -30.380917,         -95.115552,           3.413627, G100.15
        -26.094439,         -98.535319,           3.258284, G100.20
        -45.550191,         -86.355337,           4.220564, G105.00
        -42.567845,         -90.241858,           3.468424, G105.05
        -39.525163,         -94.300096,           2.800262, G105.10
        -36.263194,         -97.944083,           2.468884, G105.15
        -30.716914,        -101.408009,           2.281532, G105.20
        -48.973215,         -88.903217,           4.014643, G110.00
        -47.267370,         -92.817434,           3.158481, G110.05
        -44.320150,         -97.040578,           2.229020, G110.10
        -41.362810,        -101.188634,           1.603350, G110.15
        -38.248209,        -105.391389,           0.563157, G110.20
        -49.657408,         -98.244566,           1.731892, G115.10
        -47.093977,        -102.487633,           0.872734, G115.15
        -44.111802,        -107.259078,          -0.048012, G115.20
        -60.383813,         -91.787703,           4.118543, G120.00
        -57.204772,         -95.561795,           2.906413, G120.05
        -54.354107,         -99.587290,           1.885606, G120.10
        -51.835131,        -104.031029,           0.838952, G120.15
        -49.000623,        -108.541339,          -0.367243, G120.20
        -64.692973,         -92.579844,           4.176302, G125.00
        -60.049729,        -102.521844,           1.075855, G125.10
        -57.412195,        -106.755363,           1.221878, G125.15
        -55.471074,        -110.551206,          -0.601072, G125.20
        -69.518914,         -94.120830,           4.294087, G130.00
        -66.962474,         -97.812968,           3.145869, G130.05
        -65.410934,        -103.731139,           1.264744, G130.10
        -63.208068,        -108.072352,           0.231867, G130.15
        -61.115234,        -112.732657,          -0.538783, G130.20
        -71.947985,        -100.768105,           2.738979, G135.05
        -69.328497,        -105.207620,           1.362261, G135.10
        -67.109543,        -109.604321,           0.344693, G135.15
        -64.813232,        -114.587763,          -0.434855, G135.20
        -78.478004,         -98.679323,           4.257213, G140.00
        -76.039341,        -102.794781,           2.749977, G140.05
        -73.649056,        -107.092052,           1.862021, G140.10
        -71.333780,        -111.743665,           0.631553, G140.15
        -69.375394,        -116.519323,          -0.201602, G140.20
        -83.167778,        -100.800966,           4.709699, G145.00
        -80.082695,        -106.477210,           2.517085, G145.05
        -77.656927,        -109.293560,           1.775678, G145.10
        -74.934270,        -113.846702,           0.833237, G145.15
        -72.456627,        -118.289055,          -0.158142, G145.20
        -87.170745,        -103.590175,           4.133444, G150.00
        -84.408232,        -107.966473,           2.765199, G150.05
        -81.642624,        -111.833194,           1.586394, G150.10
        -78.414329,        -116.215462,           0.930737, G150.15
        -75.662376,        -120.040713,          -0.405440, G150.20
        -87.995366,        -110.699565,           2.694239, G155.05
        -85.598772,        -115.491122,           1.145305, G155.10
        -82.331716,        -120.054189,          -0.041102, G155.15
        -80.581259,        -123.815895,          -0.836746, G155.20
        -95.080805,        -110.265281,           4.095418, G160.00
        -92.184432,        -114.529501,           2.419798, G160.05
        -89.355229,        -118.938288,           1.265589, G160.10
        -86.461080,        -123.241002,           0.214427, G160.15
        -84.090921,        -127.295187,          -0.876449, G160.20
        -99.043589,        -113.445139,           3.987441, G165.00
        -96.352570,        -117.883728,           2.585416, G165.05
        -96.367705,        -117.857553,           2.569966, G165.05
        -93.236883,        -122.430545,           1.570168, G165.10
        -93.245303,        -122.390297,           1.562729, G165.10
        -90.575147,        -126.166974,           0.849498, G165.15
        -87.114298,        -129.771738,          -0.717979, G165.20
        -99.646995,        -121.130705,           2.764755, G170.05
        -96.428789,        -125.693888,           1.730128, G170.10
        -93.595251,        -129.121620,           0.804931, G170.15
        -89.490687,        -132.804213,          -0.586038, G170.20
       -106.670414,        -120.034502,           4.099288, G175.00
       -103.297340,        -123.882733,           2.646949, G175.05
       -100.122158,        -127.870024,           2.671092, G175.10
        -96.427416,        -131.429517,           1.032453, G175.15
        -93.225426,        -134.726325,           0.059469, G175.20
       -110.746255,        -123.016226,           4.048271, G180.00
       -103.327329,        -129.849553,           2.548957, G180.10
       -100.045477,        -133.540079,           1.487163, G180.15
        -96.376137,        -137.116931,           0.576010, G180.20
       -114.749774,        -126.048273,           4.088418, G185.00
       -110.839248,        -129.789653,           3.012085, G185.05
       -107.576421,        -133.412621,           2.649565, G185.10
       -103.426397,        -136.570629,           1.783869, G185.15
        -99.977763,        -140.886156,           1.026566, G185.20
       -118.694184,        -129.271717,           4.210501, G190.00
       -114.459214,        -132.928547,           3.451450, G190.05
       -111.258252,        -136.857788,           2.862216, G190.10
       -107.433107,        -140.684238,           2.113619, G190.15
       -122.280202,        -132.801258,           4.262280, G195.00
       -118.376155,        -137.032323,           3.471264, G195.05
       -115.055470,        -140.972330,           3.174151, G195.10
       -111.682816,        -144.329682,           2.365386, G195.15
       -108.131010,        -148.411461,           1.833198, G195.20
       -125.953578,        -136.286638,           4.134374, G200.00
       -122.400777,        -140.197726,           3.484989, G200.05
       -119.088944,        -143.782373,           3.027590, G200.10
       -115.502767,        -146.996675,           2.612117, G200.15
       -115.497866,        -147.000692,           2.618767, G200.15
       -128.753520,        -140.557887,           4.319679, G205.00
       -124.709633,        -143.683099,           3.533607, G205.05
       -120.652425,        -147.084924,           2.864097, G205.10
       -116.892389,        -150.488189,           2.740705, G205.15
